,RECIPE_ID,RECIPE_NM_KO,SUMRY,COOKING_TIME,QNT,LEVEL_NM,IMG_URL
10,22,미역냉국,"더운 여름, 새콤달콤 시원한 미역냉국으로 입맛을 살려보세요~",30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/004800.jpg
11,25,오이냉국,아삭아삭한 오이와 새콤달콤한 냉국의 조화!,20분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/005200.jpg
12,27,재첩국,재첩은 해감을 잘 한다음 사용하셔야 해요. 그래야 깔끔한 맛을 낼 수 있어요.,30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/005400.jpg
13,35,콩나물무침,"아주 흔한 요리이지만,그 맛을 내는데도 비법이 있죠!",20분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/006600.jpg
14,36,우엉조림,"아삭한 우엉을 맛깔스러운 간장 양념으로 조려보세요~ 맛깔스러운 간단한 반찬, 만들어볼까요?",30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/006900.jpg
15,38,멸치볶음,고소하고 짭잘한 멸치볶음 하나면 밥 한공기 뚝딱이죠.,20분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/007300.jpg
16,43,콩나물잡채,당면 대신 콩나물로 잡채를 만들어볼까요~,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/008800.jpg
17,45,마늘장아찌,"마늘장아찌, 입맛 없을 때 드셔보세요~",20분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/009100.jpg
18,53,청국장찌개,한국인의 입맛에 딱 맞는 구수한 청국장입니다!,30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/011200.jpg
19,54,순두부찌개,순두부의 연한 질감과 개운한 국물이 입안에서 술~술~넘어갑니다.,25분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/011300.jpg
20,55,동태찌개,？끗이 손질한 생선을 넣어 시원한 동태찌개를 끓여보세요~,40분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/011400.jpg
21,56,김치찌개,냉장고에 있는 김치로 얼큰한 김치찌개 끓여보세요. 김치는 단순한 듯 하지만 조리법에 따라 다양한 맛을 낼 수 있답니다.,40분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/011500.jpg
22,57,콩비지찌개,구수한 냄새가 고향의 맛을 전해주네요. 옛날 엄마의 맛을 기억하면서 정성스럽게 끓여보세요.,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/011600.jpg
23,59,유부초밥,맛있게 조린 유부에 밥을 넣어 만든 초밥종류입니다,20분,1인분,보통,http://file.okdab.com/UserFiles/searching/recipe/012000.jpg
24,61,해파리냉채,쫄깃한 해파리로 새콤한 냉채요리를 해보세요. 손님초대 요리로 손색없는 입맛 당기는 요리입니다.,40분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/012400.jpg
25,63,열무김치,"아삭하게 씹히는 열무김치, 잘 익힌 국물 맛이 탄산음료에 버금간답니다.",40분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/012800.jpg
26,64,오이소박이,아삭하게 씹히는 오이와 맛있는 양념의 환상의 조화!,40분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/012900.jpg
27,65,나박김치,향긋한 미나리를 나박김치에 넣어 향도좋고 맛도좋은 개운한 물김치 드셔보세요. 소화제가 필요없답니다.,35분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/013000.jpg
28,66,총각김치,뜨거운 밥과 총각김치가 너무 잘 어울리지요.,60분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/013100.jpg
29,68,동치미,동치미로 시원한 국물 내어 겨울철 야식으로 이용해보세요. 이보다 더 맛있을 순 없을겁니다.,40분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/013300.jpg
30,69,갓김치,물에 밥을 말아 갓김치를 얹어 먹으면 밥도둑이 따로 없답니다. 씁쓸한 맛이 매력인 갓김치! 만들어 보세요~,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/013400.jpg
31,71,감자탕,얼큰한 국물에 양념이 잘 베인 감자와 돼지고기가 입에서 술술 넘어갑니다.,60분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/013700.jpg
32,72,아구탕,"아구찜과는 또다른 매력, 아구탕 대령이오~",30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/013800.jpg
33,73,조기매운탕,조기로 구이요리만 하셨다구요? 이번에는 매운탕으로 끓여보세요. 조기의 또다른 맛을 느끼실 수 있답니다.,30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/014000.jpg
34,74,알탕,씹히는 맛이 독특한 알이 듬뿍 들어간 얼큰하고 시원한 알탕!,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/014100.jpg
35,78,낙지전골,갖가지 재료를 듬뿍 넣은 시원한 전골요리로 저녁 식탁을 꾸며보세요~,40분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/014700.jpg
36,80,콩나물국밥,콩나물을 넣어 시원한 국밥 한뚝배기 하실래요~,30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/015100.jpg
37,81,곰탕,"곰탕, 이제는 집에서 끓여 더욱 깊은 맛을 내보세요.",120분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/015500.jpg
38,82,설렁탕,쇠뼈를 푹 고아낸 뽀얀 국물 한 대접 먹으면 기운이 솟아납니다.,90분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/015600.jpg
39,83,도가니탕,몸이 허하다고 느껴질때 도가니탕 한그릇으로 기운 챙기세요.,180분,4인분,어려움,http://file.okdab.com/UserFiles/searching/recipe/015900.jpg
40,84,꼬리곰탕,꼬리곰탕 한그릇이면 허했던 기력을 찾을 수 있죠.,60분,4인분,어려움,http://file.okdab.com/UserFiles/searching/recipe/016000.jpg
41,85,갈비탕,갈비탕으로 속을 달래보세요. 든든해집니다!,175분,4인분,어려움,http://file.okdab.com/UserFiles/searching/recipe/016100.jpg
42,86,부추김치,"부추는 향도 좋고 맛도 달아, 김치로 담그면 맛있습니다.",20분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/016200.jpg
43,87,파김치,파김치는 익으면 젖갈과 맛이 잘 어울려 든든한 밑반찬이 된답니다.,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/016300.jpg
44,88,백김치,백김치를 담궈 시원한 김치를 맛보세요! 고춧가루를 넣은 김치와는 또다른 시원한 맛이랍니다.,60분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/016400.jpg
45,89,깻잎장아찌,"？잎장아찌는 만들기도 쉬우며, 입맛없을 때 먹기 좋은 밑반찬입니다.",30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/016500.jpg
46,92,쇠고기장조림,장조림 하나면 간단하게 식사 준비 할 수 있지요.,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/017600.jpg
47,93,연근조림,연근이 아삭하게 씹혀요! 만들기도 아주 쉽지요~,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/017700.jpg
48,94,해물파전,각종 해산물이 들어간 해물파전! 바다향과 고소한 향이 그대로~,40분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/017900.jpg
49,96,냉이된장찌개,"모시조개로 시원한 국물맛을 내고, 냉이로 향긋한 내음이 나는 냉이조갯국 만들어 보세요~",30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/018400.jpg
50,98,닭강정,양념치킨보다 달콤하고 바삭한 닭강정. 손이 절로 가지요.,40분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/018600.jpg
51,99,배추겉절이,간단하면서도 입맛을 돋우는 반찬으로는 배추 겉절이가 최고지요!,30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/019100.jpg
52,100,더덕구이,더덕을 양념해 구우면 향이 솔솔~ 입안이 즐거운 식사가 되지요.,35분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/019200.jpg
53,101,감자조림,감자는 간장에 조리면 유난히 더 달고 맛있는것 같아요~~,40분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/019500.jpg
54,104,호박전,젊어서도 늙어서도 맛있는 호박! 애호박으로 고소한 전을 부쳐보아요~,30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/020000.jpg
55,105,탕수육,가장 보편적인 요리방법으로 만든 탕수육입니다..달콤 새콤한 소스에 찍어먹는 고기튀김의 맛은..정말 언제나 맛있죠~,30분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/020100.jpg
56,107,불고기,배에 재워 더 달콤하고 부드러운 불고기~ 오늘 저녁 어떠세요?,20분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/020500.jpg
57,108,부추전,피를 맑게 해준다는 부추! 부추를 밀가루 반죽과 함께 섞어 노릇하고 바삭하게 구워낸 전요리랍니다.,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/020700.jpg
58,109,돼지갈비구이,돼지갈비를 양념에 잘 재워 채소에 싸 드셔보세요. 입안 가득 넣어도 계속 계속 들어갈거에요.,50분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/021000.jpg
59,113,낙지볶음,"톡 쏘는 매콤한 양념에 쫄깃한 낙지를 살짝만 볶아보세요~ 술안주로도, 밥반찬으로도, 이보다 좋은 것이 없답니다!",30분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/022700.jpg
60,114,두부김치,"맛있게 익은 김치에 참기름, 깨소금 양념해서 따뜻한 두부와 함께 먹으면 담백하고 시원한 맛이 일품이죠.",20분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/023000.jpg
61,129,골뱅이무침,간단하게 술상을 차릴때 새콤달콤한 골뱅이무침 하나면 OK!,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/028600.jpg
62,131,육회,싱싱한 육회는 회 못지않게 맛이 좋습니다.,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/028800.jpg
63,133,삼계탕,여름철 보양식의 대표음식 삼계탕! 시원한 국물과 쫄깃한 닭고기로 몸보신하세요~,60분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/029400.jpg
64,141,과일샐러드,향긋한 과일향이 너무 좋아요. 만들기도 참 쉽습니다.,20분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/031000.jpg
65,145,부대찌개,햄과 갖은 재료로 푸짐한 부대찌개로 오늘 저녁상을 근사하게 차려보세요~,40분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/032200.jpg
66,147,아귀찜,부드러운 아구살과 양념장이 어우러져 매콤 개운한 요리입니다.,60분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/032400.jpg
67,153,화양적,여러가지 야채들을 색색별로 꼿은 화양적. 미각과 시각을 동시에 만족시키는 요리이죠.,30분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/033800.jpg
68,155,쇠고기전골,쇠고기를 푸짐하게 넣어 만든 전골 요리랍니다~,60분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/034300.jpg
69,157,잡채,잔칫상에 빠질 수 없는 잡채! 여러 가지 재료의 조화가 일품이예요~,25분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/034600.jpg
70,160,닭날개튀김,닭부위중에서 가장 맛있는 날개로 맛있는 튀김요리를 해보세요.,60분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/035800.jpg
71,161,오징어순대,오징어로 순대를 만든다? 아주 색다른 음식이죠.,60분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/036000.jpg
72,169,떡국,설날 아침 떡국먹고 한살 더먹기!,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/039000.jpg
73,170,절편,절편에 모양을 다 낸 다음 손으로 꼭 참기름 바르셔야해요,60분,2인분,어려움,http://file.okdab.com/UserFiles/searching/recipe/039200.jpg
74,171,수정과,달콤한 곶감과 향긋한 계피향이 어우러져서 한국의 정서를 느끼게 해준답니다~,60분,4인분,어려움,http://file.okdab.com/UserFiles/searching/recipe/039800.jpg
75,172,깐풍기,바삭하게 튀겨서 맛있게 만들어보세요~,40분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/040000.jpg
76,173,팥시루떡,"우리의 전통떡을 집에서 직접 만들어 보세요. 하트모양, 동그라미, 별모양으로 아이들의 호기심도 자극하구요.",50분,2인분,어려움,http://file.okdab.com/UserFiles/searching/recipe/040200.jpg
77,178,찰밥,찹쌀과 팥을 섞어 만든 찰밥입니다.,40분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/042500.jpg
78,181,달래된장찌개,구수한 된장찌개에 상큼한 달래가 들어가 향긋한 달래된장찌개!,40분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/043100.jpg
79,188,오징어찌개,오징어로 간단하게 찌개요리 해보세요.,40분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/046800.jpg
80,190,영양돌솥밥,보기만해도 영양가 풍부한 돌솥밥이랍니다.,40분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/047000.jpg
81,191,시금치된장국,시금치와 새우로 맛을 내고 된장으로 간을 해보세요.,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/047100.jpg
82,195,어묵국,아이들이 좋아하는 어묵으로 만드는 간단하고 시원한 어묵국!,30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/047800.jpg
83,199,잣죽,"부드럽고 든든한 죽 한 그릇, 어떠세요~",40분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/048400.jpg
84,200,고추장아찌,맵지 않은 청고추로 맛나는 장아찌 한 번 담가볼까요,30분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/048800.jpg
85,202,쇠고기무국,쇠고기무국에 제일 중요한것은 바로 무의 선택이죠,40분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/049400.jpg
86,204,육개장,육개장에는 얼큰한 국물맛을 내는것이 제일 중요해요.,60분,2인분,어려움,http://file.okdab.com/UserFiles/searching/recipe/050000.jpg
87,215,오징어산적,오징어로 산적 요리 해볼까요?,30분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/053200.jpg
88,225,코다리찜,"코다리찜, 밑반찬으로 그만이죠!",40분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/055800.jpg
89,240,돼지갈비찜,잔칫상에 빠질 수 없는 갈비찜! 이번에는 돼지갈비를 매콤하게 즐겨보세요~,60분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/061100.jpg
90,241,떡볶이,한국의 대표분식 떡볶이! 남녀노소 좋아해요~,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/061400.jpg
91,244,보쌈김치,김장 때면 빠질 수 없는 보쌈김치!,180분,4인분,어려움,http://file.okdab.com/UserFiles/searching/recipe/062000.jpg
92,261,약과,달달하게 입맛 당기는 약과..오늘 한번 도전해보세요~,40분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/066400.jpg
93,265,고들빼기김치,고들빼기의 향이 아주 일품인 고들빼기 김치!,70분,2인분,어려움,http://file.okdab.com/UserFiles/searching/recipe/067700.jpg
94,292,잔치국수,출출할때 간식거리로 야참으로도 부담스럽지 않아요.,30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/074300.jpg
95,294,코다리조림,코다리를 맛있게 조려보세요. 밑반찬 뿐만 아니라 아주 좋은 술안주도 될수 있지요~,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/074900.jpg
96,295,치킨데리야끼,맛있게 볶아만든 밥에 데리야끼 소스를 맛있게 한접시 먹음직스럽게 담아보세요.,30분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/075500.jpg
97,296,순대볶음,군것질로 가장 많이 선호하는 순대를 집에서 볶아 드셔 보세요.,20분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/075700.jpg
98,297,닭갈비,춘천닭갈비를 그대로 옮겨 놓은듯한 양념의 비법이 여기에 있지요. 춘천닭갈비를 그대로 옮겨 놓은듯한 맛!,25분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/076300.jpg
99,306,라볶이,라면의 색다른 변신을 원하신다면 지금 한번 도전해 보세요.,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/078500.jpg
100,316,물만두,남녀노소 좋아하는 만두! 튀기지 않고 물만두로 즐겨보세요~,50분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/081400.jpg
101,319,닭개장,"얼큰한 국물에 여러가지 나물과 담백한 닭살을 넣어 맛있게 끓인 닭개장 한그릇, 생각나시죠?",60분,2인분,어려움,http://file.okdab.com/UserFiles/searching/recipe/081900.jpg
102,320,김치볶음밥,한국인의 입맛에 딱맞는 김치볶음밥! 편식하는 아이들 간식으로도 좋아요~,20분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/082100.jpg
103,321,오징어채볶음,반찬이 없다구요? 냉장고에 남아있는 오징어채를 고추장에 조물조물 무쳐보세요~,20분,3인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/082300.jpg
104,322,바지락칼국수,"바지락으로 시원한 국물맛을 내고, 쫄깃한 면발에 칼국수를 색다르게 먹을 수 있는 요리랍니다.",25분,3인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/082400.jpg
105,326,홍합미역국,홍합의 시원한 맛이 미역국의 맛을 한층 더해준답니다.,20분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/083500.jpg
106,327,오징어덮밥,쫄깃한 오징어와 매콤한 양념의 환상조합으로 밥 한 공기 뚝딱!,30분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/083700.jpg
107,332,충무김밥,김밥에 오징어 초무침을 곁들여보세요~,50분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/085500.jpg
108,333,기스면,"특이한 면 요리를 원하신다면, 결코 어렵지 않은 조리법으로 특이한 음식을 맛볼 수 있답니다!",30분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/086000.jpg
109,335,마늘빵,마늘빵을 집에서 정성스럽게 만들어 보세요.,20분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/086300.jpg
110,339,인절미,옛날처럼 큰 절구는 없어도 조그마한 절구로 인절미를 만들어 보세요.,60분,1인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/086900.jpg
111,342,꽁치구이,꽁치를 가장 신선하게 맛있게 먹을 수 있답니다. 소금을 적당하게 뿌려서 그릴에 구워 바로 드세요~!,20분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/087500.jpg
112,344,무생채,새콤달콤하게 무쳐서 밥상위에 올려 놓으면 인기 짱!,20분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/088000.jpg
113,346,안심스테이크,기념일날 분위기 있게 스테이크를 집에서 만들어 보세요.,40분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/088300.jpg
114,347,파래무침,해조류가 다이어트에 좋은거 알고계시죠? 새콤 달콤하게 무쳐보세요.,20분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/088400.jpg
115,350,월남쌈,베트남 음식이 생소하시다구요?? 이 방법대로만 하면 OK!,30분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/089100.jpg
116,359,캘리포니아롤,게를 가지고 피크닉에 갈 수는 없을까요? 확인해 보세요^^,60분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/092700.jpg
117,374,해초무침,상큼한 사과 소스에 신선한 해초를 담아 맛있는 산뜻한 샐러드를 만들어 보세요.,20분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/100100.jpg
118,376,장어덮밥,더운 여름이 다가오고 있어요. 몸보신을 위해서 맛난 장어덮밥을 만들어 보세요.,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/100300.jpg
119,380,볶음우동,매콤한 소스를 쫄깃한 우동면에 뿌려드세요. 아삭하게 씹히는 야채가 들어가 더욱 맛있답니다.,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/101600.jpg
120,388,조기찜,영양가 풍부한 조기로 맛있는 찜을 만들어 보세요. 반찬으로 너무 좋답니다~,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/106400.jpg
121,395,어묵볶음,얼큰한 김치와 어묵을 같이 볶아보세요. 어묵은 일단 기름을 한번 빼고 김치와 같이 볶아줍니다.,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/108700.jpg
122,399,참치김치찌개,간단하고 쉬운 참치김치찌개를 만들어 보세요. 얼큰한 맛을 더하려면 고춧가루를 좀 더 넣어주세요~,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/109900.jpg
123,405,간장게장,담백하고 짜지 않은 간장게장을 만들어보세요. 밥도둑이 따로 없답니다.,60분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/111900.jpg
124,407,돼지불고기,저녁 반찬 뭐 해먹을까? 오늘 저녁 반찬으로 딱 어울리는 요리. 돼지불고기를 준비해보세요.,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/112900.jpg
125,409,라조기,늘 시켜먹던 라조기를 직접 만들어 보세요. 바삭하게 튀긴 닭에 맛있는 소스를 곁들이면 정말 맛있는 라조기가 되지요.,40분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/114400.jpg
126,425,무말랭이무침,양념장을 맛있게 만들어 무말랭이를 맛있게 조물조물 무쳐보세요.,20분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/120900.jpg
127,427,돌솥비빔밥,뜨근한 돌솥에 여러가지 재료들을 넣어 맛있는 돌솥비빔밥을 만들어보세요~,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/121400.jpg
128,429,고등어조림,오늘 저녁에는 고등어조림으로 밥 한끼 해결합시다. 간이 밴 무도 맛이 일품이죠~,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/121900.jpg
129,430,갈치구이,갈치구이를 접시에 담을 땐 레몬을 한조각 올려서 더욱 이쁘게! 보기 좋은게 먹기도 좋답니다~,15분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/122700.jpg
130,431,갈치조림,밥 한그릇 생각나게 하는 갈치조림이죠!,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/122800.jpg
131,437,쌀국수,베트남 고유의 시원한 쌀국수 요리를 우리집 가정에서 느껴보세요~ 담백한 육수와 상큼한 숙주가 일품이예요!,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/131400.jpg
132,444,근대된장국,담백하고 시원한 근대된장국으로 밥 한그릇 뚝딱 해결해 보세요.,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/136600.jpg
133,445,된장찌개,"구수한 냄새, 고소한 맛! 한국의 대표음식 된장찌개! 우리 입맛에 딱이예요~",30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/137600.jpg
134,453,전복죽,쫄깃한 전복살과 깊은 감칠맛이 입 안에 맴도는 보양식 죽 대령이오~,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/141600.jpg
135,477,참치죽,고소한 참치가 들어가 심심하지 않아요~,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/156100.jpg
136,481,돼지고기김치찌개,개운한 김치찌개~! 신김치와 청정원 국선생 육수만  있으면 감칠맛 나는 요리는 문제 없답니다.,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/158100.jpg
137,482,두부조림,바삭한 두부를 감칠맛나는 굴소스에 부드럽게 조렸어요~ 술안주로 밥반찬으로 인기 만점이에요!,30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/158600.jpg
138,484,해물볶음밥,빠른 요리가 필요할 땐 맛도 함께 챙겨주는 굴소스로 요리해보세요~,30분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/159000.jpg
139,486,해물매운탕,매콤하면서 시원한 해물탕으로 개운하게 속풀이 하세요!,60분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/160200.jpg
140,487,해물순두부찌개,부드럽게 넘어가는 맛이 최고!! 시원하고 개운한 국물맛이 단백하게 입맛을 살려주는 순두부찌개!!,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/160800.jpg
141,488,김치우동,칼칼한 국물이 땡기는 날~ 김치우동으로 시원함을 달래보세요!,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/161700.jpg
142,489,쫄면,쫄깃하고 새콤달콤한 쫄면~ 차고 매콤한 맛이 자꾸자꾸 땡겨요!,40분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/162500.jpg
143,492,떡만두국,따끈한 국물이 생각날 때! 쫄깃한 떡과 속살 탱탱한 만두가 들어간 떡만두국 어떠세요~,30분,2인분,보통,http://file.okdab.com/UserFiles/searching/recipe/163500.jpg
144,493,꽁치김치찌개,김치찌개가 지겨우시다구요? 꽁치를 넣어 칼칼하고 시원한 꽁치김치찌개! 추운 날 밥반찬으로 그만이지요~,60분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/163700.jpg
145,494,미소된장국,단백한 국물맛이 좋은 미소된장국으로 속을 가볍게 달래보세요~,30분,2인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/163900.jpg
146,495,비빔냉면,"더운 여름, 시원하고 새콤달콤한 비빔냉면을 비벼비벼~",50분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/166300.jpg
